,comb,mol1,mol2,confidence
15612,comb15613,ZINC000001722248,ZINC000000896527,0.8516570622120333
38008,comb15218_,ZINC000000388499,ZINC000001706229,0.8515952574131804
20331,comb20332,ZINC000000388499,ZINC000169747359,0.8515744652951281
28839,comb6049_,ZINC000006118956,ZINC000100074278,0.8515518565021694
13678,comb13679,ZINC000001665359,ZINC000000900729,0.8515391214674577
19507,comb19508,ZINC000064858311,ZINC000000164418,0.8515321064529566
41076,comb18286_,ZINC000000388506,ZINC000003876017,0.8515319319029216
11278,comb11279,ZINC000001581013,ZINC000000967759,0.8515283899424683
29062,comb6272_,ZINC000004521187,ZINC000100074293,0.8514918347328878
18194,comb18195,ZINC000003876016,ZINC000000967759,0.8514505873590653
35817,comb13027_,ZINC000000968282,ZINC000001601911,0.8513919459949597
12023,comb12024,ZINC000001598876,ZINC000000967759,0.851387701326619
36334,comb13544_,ZINC000000900729,ZINC000001661476,0.8513845009518523
26433,comb3643_,ZINC000000896527,ZINC000064622642,0.8513664140431327
2854,comb2855,ZINC000002558792,ZINC000000967759,0.8513480726185823
39843,comb17053_,ZINC000000900729,ZINC000002530746,0.8513380310161069
39634,comb16844_,ZINC000001591814,ZINC000002510896,0.8513201216098746
16771,comb16772,ZINC000002242728,ZINC000001845807,0.8513153860180557
25237,comb2447_,ZINC000000164418,ZINC000002143278,0.8512786497494746
44167,comb21377_,ZINC000000967759,ZINC000002507978,0.8512696209993361
42381,comb19591_,ZINC000000388506,ZINC000070666008,0.851255093275473
2823,comb2824,ZINC000002558792,ZINC000000900729,0.8512407176737518
20343,comb20344,ZINC000000388499,ZINC000001562134,0.8512337017154961
11728,comb11729,ZINC000001589655,ZINC000000967759,0.8511972464240634
11137,comb11138,ZINC000001580749,ZINC000001699878,0.8511716527723121
18568,comb18569,ZINC000003876020,ZINC000000967759,0.8510801014249019
20503,comb20504,ZINC000000897131,ZINC000001668172,0.8510537806994085
34515,comb11725_,ZINC000000388506,ZINC000001589655,0.8510439340478269
34635,comb11845_,ZINC000000897131,ZINC000001590020,0.8510386562646068
9549,comb9550,ZINC000001530818,ZINC000000896527,0.8510088819226533
21820,comb21821,ZINC000169747359,ZINC000001845807,0.8508436774932204
18289,comb18290,ZINC000003876017,ZINC000000967759,0.850829553514485
12886,comb12887,ZINC000001601910,ZINC000000968282,0.8508250920022278
17501,comb17502,ZINC000002558787,ZINC000000967759,0.8508057939534487
11427,comb11428,ZINC000001581017,ZINC000000896527,0.8507574997583183
21855,comb21856,ZINC000000164418,ZINC000001562134,0.8507408153015318
35675,comb12885_,ZINC000000967759,ZINC000001601910,0.8507247219174447
9870,comb9871,ZINC000001562131,ZINC000000388506,0.8506753176877424
18791,comb18792,ZINC000006118956,ZINC000059029793,0.8506737767230769
30320,comb7530_,ZINC000000967759,ZINC000000275176,0.8506664857997462
38037,comb15247_,ZINC000000388498,ZINC000001706229,0.8506451623429284
6094,comb6095,ZINC000100074278,ZINC000000164418,0.8506298640357494
13576,comb13577,ZINC000001661476,ZINC000000968282,0.8506099087092865
20492,comb20493,ZINC000000897131,ZINC000002810011,0.8505974881159573
40260,comb17470_,ZINC000000897131,ZINC000002558787,0.8505701079263415
39104,comb16314_,ZINC000000967759,ZINC000002077483,0.8505560054698114
18580,comb18581,ZINC000003876020,ZINC000001845807,0.850522940338549
4957,comb4958,ZINC000064624959,ZINC000000900729,0.8505073845771629
13165,comb13166,ZINC000001601915,ZINC000000968282,0.8504996266625919
18792,comb18793,ZINC000006118956,ZINC000064622647,0.8504836860275111
40507,comb17717_,ZINC000001845807,ZINC000002558813,0.8504650656614834
9553,comb9554,ZINC000001530818,ZINC000000968282,0.850456927401405
38523,comb15733_,ZINC000000967534,ZINC000001760831,0.8504322330271639
39408,comb16618_,ZINC000000897131,ZINC000002168416,0.8503653156821329
33578,comb10788_,ZINC000000897131,ZINC000001570231,0.8503506253446369
44592,comb21802_,ZINC000000164418,ZINC000169747359,0.8503501437039537
25210,comb2420_,ZINC000000388499,ZINC000002143278,0.850323012054953
2421,comb2422,ZINC000002143278,ZINC000000897131,0.8501383509210189
13161,comb13162,ZINC000001601915,ZINC000000896527,0.8501272267930191
34530,comb11740_,ZINC000001699878,ZINC000001589655,0.8500858841306689
18852,comb18853,ZINC000006118956,ZINC000002167088,0.8500856574413012
40464,comb17674_,ZINC000000900729,ZINC000002558813,0.8500851819701072
39949,comb17159_,ZINC000000900729,ZINC000002530747,0.8500525844147402
