,comb,mol1,mol2,confidence
4420,comb4421,ZINC000064624955,ZINC000000968282,0.8846473932471455
21158,comb21159,ZINC000001687816,ZINC000000967759,0.8844676439328895
9872,comb9873,ZINC000001562131,ZINC000000896527,0.8844056966835887
22151,comb22152,ZINC000000967759,ZINC000001668172,0.8842402581500789
4768,comb4769,ZINC000064624958,ZINC000000900729,0.8840906286967446
21983,comb21984,ZINC000000388506,ZINC000001674476,0.8840069157564837
16536,comb16537,ZINC000002168369,ZINC000000896527,0.8828803162470178
22118,comb22119,ZINC000000967534,ZINC000002568170,0.882376214472516
21672,comb21673,ZINC000005705162,ZINC000000967534,0.8823091111099548
12457,comb12458,ZINC000001600920,ZINC000000967534,0.8822946678814462
22504,comb22505,ZINC000001845807,ZINC000001656970,0.8821809654860944
4035,comb4036,ZINC000064624846,ZINC000000968282,0.8818566889757707
6295,comb6296,ZINC000100074293,ZINC000001845807,0.881792679700801
19642,comb19643,ZINC000070667148,ZINC000000900729,0.8816859027917712
21988,comb21989,ZINC000000388506,ZINC000002167088,0.8816225393506101
21982,comb21983,ZINC000000388506,ZINC000001646307,0.8815450882557788
22414,comb22415,ZINC000001674476,ZINC000001699878,0.8813056825304864
5361,comb5362,ZINC000070667144,ZINC000000896527,0.8810684758084643
18661,comb18662,ZINC000004769055,ZINC000000968282,0.8806685689676695
19526,comb19527,ZINC000064858311,ZINC000001845807,0.8806380324720816
21981,comb21982,ZINC000000388506,ZINC000001615335,0.8805653617987022
19525,comb19526,ZINC000064858311,ZINC000001699878,0.8804464556112773
19264,comb19265,ZINC000057677596,ZINC000000388506,0.8803611137712934
19009,comb19010,ZINC000008034701,ZINC000000388506,0.8803611137712934
19180,comb19181,ZINC000038147440,ZINC000000388506,0.8803611137712934
44610,comb21820_,ZINC000001699878,ZINC000169747359,0.8801802328815773
22110,comb22111,ZINC000000967534,ZINC000000087024,0.8798696532185438
20496,comb20497,ZINC000000897131,ZINC000004521424,0.8796825474958703
3447,comb3448,ZINC000038788724,ZINC000000967534,0.8792200904561892
20512,comb20513,ZINC000000897131,ZINC000006920393,0.8791465194585674
4226,comb4227,ZINC000064624950,ZINC000000967759,0.8788932801600147
22415,comb22416,ZINC000001674476,ZINC000001845807,0.8788749832446074
2453,comb2454,ZINC000002143278,ZINC000000967759,0.8788278098878715
17601,comb17602,ZINC000002558795,ZINC000000896527,0.878640032300642
15249,comb15250,ZINC000001706229,ZINC000000896527,0.8783915274384877
19347,comb19348,ZINC000059029793,ZINC000000388506,0.8783365427978818
16879,comb16880,ZINC000002510896,ZINC000001699878,0.878097786754041
22481,comb22482,ZINC000001699878,ZINC000001668172,0.8780463329069224
6112,comb6113,ZINC000100074278,ZINC000001699878,0.8780430570974183
16647,comb16648,ZINC000002168416,ZINC000000896527,0.8780419879901055
10032,comb10033,ZINC000001562132,ZINC000000896527,0.877987588855001
16425,comb16426,ZINC000002143276,ZINC000000967534,0.877044424424148
21806,comb21807,ZINC000169747359,ZINC000000896527,0.8770228177903208
6476,comb6477,ZINC000100074301,ZINC000001845807,0.8768537813922809
17803,comb17804,ZINC000002558814,ZINC000000967534,0.876826820343557
19675,comb19676,ZINC000070667148,ZINC000000968282,0.8766947731820609
20559,comb20560,ZINC000000900729,ZINC000002810011,0.8766834940184439
15369,comb15370,ZINC000001717025,ZINC000000388506,0.8765205214952998
16880,comb16881,ZINC000002510896,ZINC000001845807,0.8765022679816967
22220,comb22221,ZINC000000968282,ZINC000001668172,0.8764744539832728
2422,comb2423,ZINC000002143278,ZINC000000900729,0.8764032148276784
4044,comb4045,ZINC000064624846,ZINC000001699878,0.8763045729132793
6113,comb6114,ZINC000100074278,ZINC000001845807,0.8762678461458343
7528,comb7529,ZINC000000275176,ZINC000000967534,0.8762383762344561
19402,comb19403,ZINC000064622647,ZINC000000900729,0.87622723419077
17703,comb17704,ZINC000002558813,ZINC000000967534,0.8762079796354141
17188,comb17189,ZINC000002530747,ZINC000000967534,0.8760428278426906
12313,comb12314,ZINC000001599943,ZINC000000967534,0.8758904350586112
15613,comb15614,ZINC000001722248,ZINC000000967534,0.8757253895924942
9550,comb9551,ZINC000001530818,ZINC000000967534,0.8757027287604985
11124,comb11125,ZINC000001580749,ZINC000000896527,0.8756972618261846
16312,comb16313,ZINC000002077483,ZINC000000967534,0.8756739648105915
22360,comb22361,ZINC000001615335,ZINC000001845807,0.8755969586576201
12883,comb12884,ZINC000001601910,ZINC000000967534,0.8751866083049912
21577,comb21578,ZINC000003848023,ZINC000000967534,0.8751628158937935
11428,comb11429,ZINC000001581017,ZINC000000967534,0.8751460506065176
23598,comb808_,ZINC000000896527,ZINC000001570232,0.8750489386722076
43945,comb21155_,ZINC000000388506,ZINC000001687816,0.875038187140745
22000,comb22001,ZINC000000388506,ZINC000001656970,0.8747957439718024
19433,comb19434,ZINC000064622647,ZINC000000967759,0.8745999306876433
22199,comb22200,ZINC000000968282,ZINC000001615334,0.8745677710858224
13162,comb13163,ZINC000001601915,ZINC000000967534,0.8744544131838742
22209,comb22210,ZINC000000968282,ZINC000002810011,0.8741751382945457
20549,comb20550,ZINC000000900729,ZINC000001615334,0.874040024944249
13300,comb13301,ZINC000001632866,ZINC000000967534,0.8740080198060011
22082,comb22083,ZINC000000896527,ZINC000012371961,0.8739055209788992
13573,comb13574,ZINC000001661476,ZINC000000967534,0.8738279888412757
17082,comb17083,ZINC000002530746,ZINC000000967534,0.873819517096022
17902,comb17903,ZINC000002558815,ZINC000000967534,0.8736717319056873
20568,comb20569,ZINC000000900729,ZINC000001654295,0.8735832580982676
4195,comb4196,ZINC000064624950,ZINC000000900729,0.8733633858279197
3839,comb3840,ZINC000064622643,ZINC000000967759,0.8733479602885793
19319,comb19320,ZINC000059029793,ZINC000000897131,0.8733413785421977
12742,comb12743,ZINC000001601909,ZINC000000967534,0.873297356002834
13023,comb13024,ZINC000001601911,ZINC000000967534,0.8732636888561456
19435,comb19436,ZINC000064622647,ZINC000000968282,0.8732448451214359
20359,comb20360,ZINC000000388499,ZINC000004521424,0.8731510251460168
22359,comb22360,ZINC000001615335,ZINC000001699878,0.8731055322055131
4045,comb4046,ZINC000064624846,ZINC000001845807,0.8729670750455292
9843,comb9844,ZINC000001562131,ZINC000000900729,0.8729561879962998
21978,comb21979,ZINC000000388506,ZINC000001562134,0.8727724004637586
18670,comb18671,ZINC000004769055,ZINC000001699878,0.8724925686069303
808,comb809,ZINC000001570232,ZINC000000967534,0.8724647129894542
18671,comb18672,ZINC000004769055,ZINC000001845807,0.8724380040983424
19152,comb19153,ZINC000038147440,ZINC000000897131,0.8724374387619176
18981,comb18982,ZINC000008034701,ZINC000000897131,0.8724374387619176
19236,comb19237,ZINC000057677596,ZINC000000897131,0.8724374387619176
2455,comb2456,ZINC000002143278,ZINC000000968282,0.8723493551967599
16975,comb16976,ZINC000002521500,ZINC000000967534,0.872271680834794
21954,comb21955,ZINC000000388498,ZINC000004521424,0.8720818995795259
5929,comb5930,ZINC000100074226,ZINC000001699878,0.8720677879581407
22494,comb22495,ZINC000001845807,ZINC000002810011,0.8718960285977043
9876,comb9877,ZINC000001562131,ZINC000000968282,0.8718375519918056
5920,comb5921,ZINC000100074226,ZINC000000968282,0.871638305771157
22505,comb22506,ZINC000001845807,ZINC000001668172,0.871608974260652
38038,comb15248_,ZINC000000388506,ZINC000001706229,0.8715597350157558
16507,comb16508,ZINC000002168369,ZINC000000900729,0.8715410532991624
4430,comb4431,ZINC000064624955,ZINC000001845807,0.8714468738626464
21160,comb21161,ZINC000001687816,ZINC000000968282,0.8712432239102897
16540,comb16541,ZINC000002168369,ZINC000000968282,0.8710773944287886
21887,comb21888,ZINC000000164418,ZINC000006920393,0.8710608631819607
22140,comb22141,ZINC000000967759,ZINC000002810011,0.8710502756147082
20484,comb20485,ZINC000000897131,ZINC000001646307,0.8709230544450646
18748,comb18749,ZINC000005935219,ZINC000000967534,0.87089904967111
44595,comb21805_,ZINC000000388506,ZINC000169747359,0.8707806528244124
10663,comb10664,ZINC000001570222,ZINC000000967534,0.8707283866920177
22388,comb22389,ZINC000001646307,ZINC000001845807,0.8707081470189646
28705,comb5915_,ZINC000000388506,ZINC000100074226,0.8706580384572208
44268,comb21478_,ZINC000000896527,ZINC000002558793,0.8704760573596875
20485,comb20486,ZINC000000897131,ZINC000001674476,0.8704484970017163
20510,comb20511,ZINC000000897131,ZINC000001580750,0.8704405143590989
9874,comb9875,ZINC000001562131,ZINC000000967759,0.8703174564006066
22218,comb22219,ZINC000000968282,ZINC000001654295,0.8701944144269907
21375,comb21376,ZINC000002507978,ZINC000000967534,0.8700826740493486
36500,comb13710_,ZINC000000967759,ZINC000001665359,0.8700073354507152
3808,comb3809,ZINC000064622643,ZINC000000900729,0.8700015026855108
21871,comb21872,ZINC000000164418,ZINC000004521424,0.8698915301563344
41049,comb18259_,ZINC000000900729,ZINC000003876017,0.8698682211189454
20532,comb20533,ZINC000000900729,ZINC000005705162,0.8698638563510784
33453,comb10663_,ZINC000000896527,ZINC000001570222,0.8698223853937318
23388,comb598_,ZINC000000896527,ZINC000001570230,0.8698136762117248
20375,comb20376,ZINC000000388499,ZINC000006920393,0.8696288976742311
22130,comb22131,ZINC000000967759,ZINC000001615334,0.8695900342064378
22149,comb22150,ZINC000000967759,ZINC000001654295,0.8694893602909608
22387,comb22388,ZINC000001646307,ZINC000001699878,0.8694754656524825
15341,comb15342,ZINC000001717025,ZINC000000897131,0.8693242313452887
4620,comb4621,ZINC000064624956,ZINC000001699878,0.8692418128497315
6279,comb6280,ZINC000100074293,ZINC000000388506,0.8692079749560893
1432,comb1433,ZINC000001693568,ZINC000000967534,0.869207719619998
5332,comb5333,ZINC000070667144,ZINC000000900729,0.8690312086922115
19685,comb19686,ZINC000070667148,ZINC000001845807,0.8690268097516112
39625,comb16835_,ZINC000000388499,ZINC000002510896,0.8689191518033552
40790,comb18000_,ZINC000000896527,ZINC000002558831,0.8688142594558496
22270,comb22271,ZINC000001562134,ZINC000001845807,0.8686728716684855
20483,comb20484,ZINC000000897131,ZINC000001615335,0.8686625862967412
17293,comb17294,ZINC000002539285,ZINC000000967534,0.8686478388848813
5363,comb5364,ZINC000070667144,ZINC000000967759,0.8686256500491865
16538,comb16539,ZINC000002168369,ZINC000000967759,0.8686007678596406
39765,comb16975_,ZINC000000896527,ZINC000002521500,0.8685585986617516
12600,comb12601,ZINC000001601908,ZINC000000967534,0.8684246610567296
39519,comb16729_,ZINC000000900729,ZINC000002242728,0.8683402076643053
