,comb,mol1,mol2,confidence
14788,comb14789,ZINC000001693310,ZINC000085548520,0.4720245021391916
16003,comb16004,ZINC000001848575,ZINC000085548520,0.4715275226855249
211,comb212,ZINC000000354958,ZINC000085548520,0.4714527688995822
1674,comb1675,ZINC000001726969,ZINC000085548520,0.4714527688995822
15768,comb15769,ZINC000001760831,ZINC000085548520,0.47134772632218863
22723,comb22724,ZINC000001620997,ZINC000085548520,0.47108241058752975
7389,comb7390,ZINC000000164198,ZINC000085548520,0.4699324625060132
14143,comb14144,ZINC000001680348,ZINC000085548520,0.46988974907343234
1261,comb1262,ZINC000001689804,ZINC000085548520,0.46988974907343234
9259,comb9260,ZINC000001505075,ZINC000085548520,0.46920936691244913
20233,comb20234,ZINC000000262398,ZINC000085548520,0.46908838802017044
22779,comb22780,ZINC000012371961,ZINC000085548520,0.4687171976004047
3286,comb3287,ZINC000008585874,ZINC000085548520,0.46866731019018426
21249,comb21250,ZINC000001697899,ZINC000085548520,0.46862935546151674
20374,comb20375,ZINC000000388499,ZINC000085548520,0.4685805058707857
22774,comb22775,ZINC000002568170,ZINC000085548520,0.46816315919595913
17536,comb17537,ZINC000002558787,ZINC000085548520,0.46808308100204615
18000,comb18001,ZINC000002558831,ZINC000000967534,0.4677650493592995
15886,comb15887,ZINC000001845648,ZINC000085548520,0.46769049258745193
21613,comb21614,ZINC000003848023,ZINC000085548520,0.4675581353957071
13878,comb13879,ZINC000001666852,ZINC000085548520,0.4675429214446279
15529,comb15530,ZINC000001718758,ZINC000085548520,0.46751769965507856
22261,comb22262,ZINC000001482032,ZINC000085548520,0.4669207973419231
19939,comb19940,ZINC000000066081,ZINC000085548520,0.46615722497914464
15163,comb15164,ZINC000001700069,ZINC000085548520,0.46538823226276366
844,comb845,ZINC000001570232,ZINC000085548520,0.46478638852671883
1468,comb1469,ZINC000001693568,ZINC000085548520,0.46478638852671883
634,comb635,ZINC000001570230,ZINC000085548520,0.46478638852671883
7738,comb7739,ZINC000000394916,ZINC000085548520,0.4639637766575761
22489,comb22490,ZINC000001699878,ZINC000085548520,0.4633039739966899
15039,comb15040,ZINC000001694147,ZINC000085548520,0.46280327409790695
17638,comb17639,ZINC000002558795,ZINC000085548520,0.4614846956298278
16234,comb16235,ZINC000002041197,ZINC000085548520,0.4613361577014172
22464,comb22465,ZINC000001689598,ZINC000085548520,0.4612512617411232
2083,comb2084,ZINC000002034704,ZINC000085548520,0.4612512617411232
12493,comb12494,ZINC000001600920,ZINC000085548520,0.4606754315296035
21799,comb21800,ZINC000055757710,ZINC000085548520,0.46000069606691896
5746,comb5747,ZINC000087515592,ZINC000001845807,0.4599694478854219
18324,comb18325,ZINC000003876017,ZINC000085548520,0.4595666493382035
22711,comb22712,ZINC000001574602,ZINC000085548520,0.4592261267140725
19863,comb19864,ZINC000078239350,ZINC000085548520,0.4590520052551427
14533,comb14534,ZINC000001689808,ZINC000085548520,0.4590520052551427
14274,comb14275,ZINC000001685107,ZINC000085548520,0.4590520052551427
21754,comb21755,ZINC000008579950,ZINC000085548520,0.458904700921294
21358,comb21359,ZINC000002034680,ZINC000085548520,0.4588072367801038
8928,comb8929,ZINC000001037160,ZINC000085548520,0.45836037093037957
18036,comb18037,ZINC000002558831,ZINC000085548520,0.45833805949403045
7564,comb7565,ZINC000000275176,ZINC000085548520,0.4581609867587781
22768,comb22769,ZINC000002163914,ZINC000085548520,0.4579094884895269
8083,comb8084,ZINC000000967339,ZINC000085548520,0.45771124163447874
16684,comb16685,ZINC000002168416,ZINC000085548520,0.4574974725383113
11161,comb11162,ZINC000001580749,ZINC000085548520,0.4574974725383113
19786,comb19787,ZINC000077311539,ZINC000085548520,0.45614384925466767
20709,comb20710,ZINC000000967412,ZINC000085548520,0.4557516895976135
11763,comb11764,ZINC000001589655,ZINC000085548520,0.4556645079634993
19629,comb19630,ZINC000070666008,ZINC000085548520,0.4556645079634993
5730,comb5731,ZINC000087515592,ZINC000000388506,0.45566060422759064
11313,comb11314,ZINC000001581013,ZINC000085548520,0.4553248895518493
16119,comb16120,ZINC000001849773,ZINC000085548520,0.45505974474137345
10069,comb10070,ZINC000001562132,ZINC000085548520,0.45490199862442354
7036,comb7037,ZINC000000038933,ZINC000085548520,0.454642597289169
16573,comb16574,ZINC000002168369,ZINC000085548520,0.4545249733683856
21304,comb21305,ZINC000001725142,ZINC000085548520,0.4544699914033793
18511,comb18512,ZINC000003876019,ZINC000085548520,0.45411781063860934
22048,comb22049,ZINC000000401218,ZINC000085548520,0.45411781063860934
18603,comb18604,ZINC000003876020,ZINC000085548520,0.45405891407733745
21019,comb21020,ZINC000001591842,ZINC000085548520,0.45390552485996644
20644,comb20645,ZINC000000967335,ZINC000085548520,0.45327653211656405
423,comb424,ZINC000001570229,ZINC000085548520,0.45313941299295857
3088,comb3089,ZINC000002558822,ZINC000085548520,0.45313941299295857
20161,comb20162,ZINC000000184654,ZINC000085548520,0.45297158050493885
9909,comb9910,ZINC000001562131,ZINC000085548520,0.4519294994544977
5398,comb5399,ZINC000070667144,ZINC000085548520,0.4519294994544977
3483,comb3484,ZINC000038788724,ZINC000085548520,0.45192073375770603
17011,comb17012,ZINC000002521500,ZINC000085548520,0.4513991382934879
21411,comb21412,ZINC000002507978,ZINC000085548520,0.4513991382934879
10699,comb10700,ZINC000001570222,ZINC000085548520,0.4513991382934879
6858,comb6859,ZINC000000027374,ZINC000085548520,0.4513661590549637
12349,comb12350,ZINC000001599943,ZINC000085548520,0.4509612231599979
22159,comb22160,ZINC000000967759,ZINC000085548520,0.4507359282610851
8761,comb8762,ZINC000001000251,ZINC000085548520,0.4502439352197897
22761,comb22762,ZINC000001765793,ZINC000085548520,0.4502439352197897
9094,comb9095,ZINC000001078794,ZINC000085548520,0.4502439352197897
5211,comb5212,ZINC000070647192,ZINC000085548520,0.4502439352197897
7213,comb7214,ZINC000000157489,ZINC000085548520,0.4502439352197897
10228,comb10229,ZINC000001570217,ZINC000085548520,0.45013886305159817
17433,comb17434,ZINC000002558786,ZINC000085548520,0.4497673856130327
12058,comb12059,ZINC000001598876,ZINC000085548520,0.4497673856130327
10854,comb10855,ZINC000001570231,ZINC000085548520,0.4497673856130327
11008,comb11009,ZINC000001580747,ZINC000085548520,0.4497673856130327
11911,comb11912,ZINC000001590020,ZINC000085548520,0.4497673856130327
11464,comb11465,ZINC000001581017,ZINC000085548520,0.4497673856130327
18784,comb18785,ZINC000005935219,ZINC000085548520,0.44952298284126235
12204,comb12205,ZINC000001599927,ZINC000085548520,0.44952298284126235
3679,comb3680,ZINC000064622642,ZINC000085548520,0.449470796225094
18133,comb18134,ZINC000002577904,ZINC000085548520,0.448527532027785
17739,comb17740,ZINC000002558813,ZINC000085548520,0.448065367126679
12778,comb12779,ZINC000001601909,ZINC000085548520,0.448065367126679
12636,comb12637,ZINC000001601908,ZINC000085548520,0.448065367126679
15649,comb15650,ZINC000001722248,ZINC000085548520,0.448065367126679
17839,comb17840,ZINC000002558814,ZINC000085548520,0.448065367126679
